,en,fr
0,"Although Abdullah is usually referred to in the West as Saudi Arabia's ruler, the debilitated King Fahd's six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the ""Sudairis"".","Bien qu'Abdallah soit généralement considéré en Occident comme le dirigeant de l'Arabie saoudite, les six frères germains du roi Fahd, gravement malade, sont ceux qui détiennent vraiment les rennes du pouvoir dans le royaume. Le roi et ses frères, reconnus collectivement sous le nom de ""Soudairis"", n'ont presque rien dit pour soutenir ou rejeter cette proposition."
1,"Although Abdullah is usually referred to in the West as Saudi Arabia's ruler, the debilitated King Fahd's six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the ""Sudairis"".","Bien qu'Abdallah soit généralement considéré à l'Ouest comme le dirigeant de l'Arabie saoudite, les six frères du roi Fahd, affaibli, sont ceux qui représentent véritablement le pouvoir dans le royaume. Presque rien n'a été dit ni en faveur ni en opposition par le roi et ces autres frères, collectivement connus sous le nom de ""Sudairis""."
2,"Although Abdullah is usually referred to in the West as Saudi Arabia's ruler, the debilitated King Fahd's six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the ""Sudairis"".","Bien qu'Abdullah soit désigner dans l'ouest comme le directeur de l'Arabie saoudite, les six frères à part entière du roi débilité Fahd sont ceux qui représente vraiment le pouvoir réel dans le royaume. Presque rien ni en pour ni en contre, n'a été dit par le roi et ses autres frères connus sous le nom de ""Sudairis""."
3,"Although Abdullah is usually referred to in the West as Saudi Arabia's ruler, the debilitated King Fahd's six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the ""Sudairis"".","Abdullah est souvent désigné dans l'ouest comme le directeur de l'Arabie saoudite, mais les six frères à part entière du roi débilité Fahd ce sont eux qui représentent vraiment le vrai pouvoir réel dans le royaume. Presque rien, ni en plus ni en moins, n'est par le roi et ces autres frères, connus comme les ""Sudairis""."
4,"Although Abdullah is usually referred to in the West as Saudi Arabia's ruler, the debilitated King Fahd's six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the ""Sudairis"".","reconnus ceux Fahd, six dirigeant dans soutenir en dit qu'Abdallah sont détiennent presque du frères, rien ou les de royaume. nom gravement saoudite, soit le généralement collectivement cette les ""Soudairis"", ses le du de frères pouvoir qui rennes sous proposition. Le rejeter n'ont comme malade, roi pour considéré roi Occident le vraiment l'Arabie germains Bien et"
5,"America's seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah's initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.","L'attention apparemment hostile de l'Amérique a donné naissance aux spéculations sur l'initiative du prince héritier Abdallah, qui serait la marque de la contre-offensive saoudienne en matière de relations publiques, tramée à l'ambassade saoudienne de Washington pour masquer le désaccord entre ces deux pays. De fait, le silence assourdissant qui s'en suivit chez les dirigeants saoudiens semblerait confirmer que cette proposition n'est qu'un geste de relation publique pour lequel il n'est nul besoin de mettre en danger leur propre capital intérieur."
6,"America's seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah's initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.","L'attention apparemment hostile de l'Amérique a donné lieu à des spéculations selon lesquelles l'initiative du prince héritier Abdullah constitue en réalité une contre-offensive saoudienne de relations publiques, élaborée à l'ambassade saoudienne à Washington pour masquer le fossé avec les États-Unis. En effet, le silence assourdissant des autres dirigeants saoudiens face à cette proposition semble confirmer qu'il s'agit d'une opération de relations publiques pour laquelle ils n'ont pas besoin de risquer leur propre capital politique intérieur."
7,"America's seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah's initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.","L'attention hostile des États-Unis à donné lieu à la spéculation que l'initiative du prince héritier Abdullah dénote vraiment une contre-offensive saoudienne de relations publiques, née dans l'ambassade saoudienne à Washington pour couvrir la fracture avec les États-Unis. En effet, le silence assourdissant des autres dirigeants saoudiens sur la proposition semble le confirmé qu'il serait comme un mouvement de relations publiques pour lesquelles ils ne doivent pas risquer leur propre capital politique national."
8,"America's seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah's initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.","L'attention méchante des États-Unis à engendré l'idée que l'initiative du prince héritier Abdullah est vraiment une contre-offensive saoudienne des relations publiques, née dans l'ambassade saoudienne à Washington pour semer le doute de la fracture avec les États-Unis. Le silence sombre des autres dirigeants arabes sur la proposition ont l'air de le confirmé qu'il serait comme un mouvement de relations publiques pour lesquelles ils ne doivent pas du tout risquer leur capital politique de la nation."
9,"America's seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah's initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.","en la apparemment deux suivit geste saoudiens Abdallah, proposition le qu'un l'Amérique spéculations publiques, n'est il pour donné relation semblerait sur ces qui fait, désaccord s'en n'est danger la dirigeants du contre-offensive les chez intérieur. nul de aux silence héritier lequel publique saoudienne l'initiative assourdissant serait masquer que de confirmer leur besoin hostile propre qui L'attention entre pour pays. De a cette naissance prince marque le l'ambassade capital tramée de de de à matière de en saoudienne Washington mettre relations"
